epoch,loss,lr,val_loss
0,2.166247069835663,0.001,1.7550459802150726
1,1.578218823671341,0.001,0.7871000289916992
2,1.0372129023075103,0.001,0.1772828411310911
3,0.7859310954809189,0.001,0.04867378361523152
4,-0.027764289081096648,0.001,0.06701958775520325
5,-0.09072894752025604,0.001,0.0025921490043401716
6,-0.2210568070411682,0.001,-0.23474179655313493
7,-0.4754877805709839,0.001,-0.25651057362556456
8,-0.19685472548007965,0.001,-0.303052681684494
9,-0.06585609912872314,0.001,-0.920032000541687
10,-0.2847800076007843,0.001,-0.2397704929113388
11,-0.13104224801063538,0.001,-0.41588989421725275
12,-0.4309357389807701,0.001,-0.3036525920033455
13,0.009268821775913238,0.0005,-0.5551825523376465
14,-0.46847010105848313,0.0005,-0.5015840098261833
15,0.03713630884885788,0.0005,-0.18968757539987563
16,-0.3898090451955795,0.00025,-0.6121276319026947
17,-0.2905596733093262,0.00025,-0.3752868324518204
18,-0.3541262447834015,0.00025,-0.15741796493530275
19,-0.5966953039169312,0.000125,-0.39680703580379484
20,-0.30353258103132247,0.000125,-0.3585116744041443
21,-0.6130880832672119,0.000125,-0.2824548900127411
22,-0.6249396204948425,6.25e-05,-0.17705604285001755
23,-0.4642546191811562,6.25e-05,-0.5035347640514374
24,-0.3452837884426117,6.25e-05,-0.39263168573379514
25,-0.09633640646934509,3.125e-05,-0.6972325026988984
26,-0.6208988428115845,3.125e-05,-0.7414856910705566
27,-0.8437396824359894,3.125e-05,0.3095990553498268
28,-0.10477032661437988,1.5625e-05,-0.4890331387519836
29,-0.9082007110118866,1.5625e-05,-0.2728804886341095
30,-0.28821163177490233,1.5625e-05,-0.4684031903743744
31,-0.5666781097650528,7.8125e-06,-0.10718584954738616
32,0.2831607639789581,7.8125e-06,0.04481400996446609
33,1.2247367799282074,7.8125e-06,-1.083150041103363
34,-0.40369032621383666,7.8125e-06,-1.2165909692645074
35,-0.8091861844062805,7.8125e-06,0.1829975202679634
36,-0.9247662633657455,7.8125e-06,-0.30360622256994246
37,-0.45135303139686583,7.8125e-06,-0.16435370743274688
38,-0.1978509783744812,3.90625e-06,-0.1209959015250206
39,-0.6661881119012832,3.90625e-06,0.7081954583525658
40,-1.0239076137542724,3.90625e-06,-0.8332433700561523
41,-0.20278444290161132,1.953125e-06,-0.803168135881424
42,0.38468106985092165,1.953125e-06,-0.22526876926422118
43,-0.5105596244335174,1.953125e-06,-0.4859012454748154
44,-0.35710068345069884,9.765625e-07,-0.3803821802139282
45,-0.9136231541633606,9.765625e-07,-0.5320126861333847
46,-0.6555397570133209,9.765625e-07,-0.5822155803442002
47,-0.5851325422525406,4.882813e-07,-0.35130064338445666
48,0.009105223417282104,4.882813e-07,-0.3208948850631714
49,-0.06926333904266357,4.882813e-07,-0.5271883010864258
50,-0.30770121812820433,2.4414064e-07,-0.6718078196048737
51,-0.0504662036895752,2.4414064e-07,-0.6189818173646927
52,-0.06987084150314331,2.4414064e-07,-0.4146122336387634
53,-0.7121421813964843,1.2207032e-07,-0.9799978971481323
54,0.1897471010684967,1.2207032e-07,-0.12649526000022887
55,-0.6595183908939362,1.2207032e-07,0.14397224001586437
56,-0.5481170058250427,6.103516e-08,0.09387412667274475
57,-0.508932039141655,6.103516e-08,0.07844159603118897
58,-0.19617365002632142,6.103516e-08,0.2591617226600647
59,-0.7043278723955154,3.051758e-08,-0.06400832533836365
60,-0.37857506275177,3.051758e-08,-0.7032386362552643
61,-0.5312058061361313,3.051758e-08,-0.5086034417152405
62,-0.25704173743724823,1.525879e-08,-0.4161712765693665
63,-0.9510518208146095,1.525879e-08,-0.4146132290363312
64,0.17042108476161957,1.525879e-08,-0.264689439535141
65,-0.4949106901884079,7.629395e-09,-0.11271763443946839
66,-0.5893462687730789,7.629395e-09,-0.8154828876256943
67,-0.36006705928593874,7.629395e-09,-0.3555712401866913
68,-0.26192849278450014,3.8146974e-09,-0.4312261015176773
69,-0.9660775542259217,3.8146974e-09,-0.6048892289400101
70,-0.30339298844337464,3.8146974e-09,-0.40247819423675535
71,-0.3046766996383667,1.9073487e-09,-0.9488393023610115
72,-0.17531771957874298,1.9073487e-09,-0.00984254777431488
73,0.9337350726127625,1.9073487e-09,-0.8137335360050202
74,0.20792926400899886,9.536744e-10,-0.2713279902935028
75,-0.2673949271440506,9.536744e-10,-0.048960593342781064
76,-0.15474040806293488,9.536744e-10,-0.6520131766796112
77,-0.42993232905864714,4.768372e-10,-0.41886098980903624
78,-0.45118865966796873,4.768372e-10,-0.24968111217021943
79,1.040584033727646,4.768372e-10,-0.45491296947002413
80,-0.6073903501033783,2.384186e-10,-0.46913433372974395
81,-1.1675649106502533,2.384186e-10,-0.05163476169109345
82,0.07596091032028199,2.384186e-10,-0.40036818385124207
83,-0.8171096920967102,1.192093e-10,-0.5732876598834992
84,-0.7965250015258789,1.192093e-10,-1.1152066171169281
85,-0.6925672262907028,1.192093e-10,-0.6812348306179047
86,-0.19428718388080596,1e-10,-0.6204495638608932
87,-1.1735955238342286,1e-10,0.2724305033683777
88,-0.6966949105262756,1e-10,-0.7182518362998962
89,-0.42416386008262635,1e-10,-0.16440169811248778
90,-0.9566107034683228,1e-10,0.1003012329339981
91,-0.8004458710551262,1e-10,-0.7450177013874054
92,-0.8048448905348777,1e-10,-0.5703758001327515
93,-0.14069868624210358,1e-10,-0.16687827110290526
94,-0.10442221760749817,1e-10,-0.789344072341919
95,-0.2578085198998451,1e-10,-0.6640321403741837
96,-0.7578364133834838,1e-10,-0.7724823713302612
97,0.10121600925922394,1e-10,-1.1174859583377839
98,-0.39218436777591703,1e-10,-0.3841432869434357
99,-0.5959753453731537,1e-10,-0.22109788954257964
